SEX,Age (in years),Tenure (in years),Total Count of SEX
F,18,0,1
F,20,0,1
F,21,0,1
F,21,1,2
F,22,0,14
F,22,1,2
F,22,2,2
F,22,4,1
F,23,0,22
F,23,1,11
F,23,2,4
F,23,3,3
F,23,4,2
F,23,6,1
F,24,0,49
F,24,1,29
F,24,2,15
F,24,3,11
F,24,4,1
F,24,5,1
F,25,0,100
F,25,1,46
F,25,2,27
F,25,3,14
F,25,4,6
F,25,5,3
F,25,6,2
F,26,0,151
F,26,1,82
F,26,2,66
F,26,3,19
F,26,4,7
F,26,5,5
F,26,6,2
F,26,7,1
F,26,NA,1
F,27,0,177
F,27,1,136
F,27,2,95
F,27,3,40
F,27,4,17
F,27,5,14
F,27,6,6
F,27,7,2
F,27,NA,1
F,28,0,225
F,28,1,160
F,28,2,127
F,28,3,62
F,28,4,40
F,28,5,32
F,28,6,16
F,28,7,5
F,28,8,4
F,28,9,2
F,29,0,265
F,29,1,199
F,29,2,147
F,29,3,87
F,29,4,54
F,29,5,33
F,29,6,21
F,29,7,15
F,29,8,9
F,29,9,2
F,29,10,1
F,29,11,1
F,29,NA,2
F,30,0,327
F,30,1,250
F,30,2,203
F,30,3,121
F,30,4,101
F,30,5,67
F,30,6,33
F,30,7,16
F,30,8,11
F,30,9,10
F,30,10,2
F,30,11,1
F,30,14,1
F,31,0,349
F,31,1,276
F,31,2,215
F,31,3,163
F,31,4,107
F,31,5,71
F,31,6,46
F,31,7,35
F,31,8,19
F,31,9,10
F,31,10,4
F,31,11,1
F,31,12,1
F,32,0,338
F,32,1,233
F,32,2,224
F,32,3,164
F,32,4,125
F,32,5,92
F,32,6,66
F,32,7,47
F,32,8,31
F,32,9,18
F,32,10,9
F,32,11,9
F,32,12,3
F,32,13,1
F,32,14,1
F,32,15,1
F,32,NA,1
F,33,0,329
F,33,1,233
F,33,2,211
F,33,3,162
F,33,4,137
F,33,5,114
F,33,6,82
F,33,7,55
F,33,8,34
F,33,9,17
F,33,10,14
F,33,11,11
F,33,12,5
F,33,13,5
F,33,14,4
F,33,NA,1
F,34,0,334
F,34,1,230
F,34,2,215
F,34,3,192
F,34,4,142
F,34,5,142
F,34,6,129
F,34,7,65
F,34,8,52
F,34,9,33
F,34,10,20
F,34,11,16
F,34,12,10
F,34,13,5
F,34,14,4
F,35,0,295
F,35,1,264
F,35,2,227
F,35,3,203
F,35,4,158
F,35,5,136
F,35,6,98
F,35,7,95
F,35,8,64
F,35,9,52
F,35,10,30
F,35,11,39
F,35,12,23
F,35,13,16
F,35,14,12
F,35,15,2
F,35,16,2
F,36,0,298
F,36,1,230
F,36,2,234
F,36,3,186
F,36,4,155
F,36,5,191
F,36,6,133
F,36,7,98
F,36,8,75
F,36,9,57
F,36,10,42
F,36,11,49
F,36,12,39
F,36,13,31
F,36,14,20
F,36,15,6
F,36,16,2
F,36,18,4
F,36,19,1
F,36,NA,1
F,37,0,302
F,37,1,218
F,37,2,203
F,37,3,217
F,37,4,141
F,37,5,147
F,37,6,133
F,37,7,108
F,37,8,101
F,37,9,66
F,37,10,70
F,37,11,45
F,37,12,47
F,37,13,55
F,37,14,27
F,37,15,16
F,37,16,6
F,37,17,5
F,37,18,2
F,37,19,1
F,37,NA,2
F,38,0,271
F,38,1,217
F,38,2,231
F,38,3,181
F,38,4,177
F,38,5,159
F,38,6,134
F,38,7,122
F,38,8,95
F,38,9,86
F,38,10,69
F,38,11,70
F,38,12,56
F,38,13,48
F,38,14,57
F,38,15,19
F,38,16,17
F,38,17,6
F,38,18,3
F,38,19,2
F,38,20,1
F,39,0,268
F,39,1,207
F,39,2,206
F,39,3,181
F,39,4,153
F,39,5,146
F,39,6,127
F,39,7,128
F,39,8,110
F,39,9,99
F,39,10,88
F,39,11,87
F,39,12,69
F,39,13,62
F,39,14,75
F,39,15,33
F,39,16,17
F,39,17,17
F,39,18,9
F,39,19,8
F,39,20,1
F,39,21,1
F,39,NA,1
F,40,0,266
F,40,1,187
F,40,2,189
F,40,3,154
F,40,4,138
F,40,5,135
F,40,6,147
F,40,7,130
F,40,8,101
F,40,9,97
F,40,10,89
F,40,11,80
F,40,12,67
F,40,13,96
F,40,14,68
F,40,15,39
F,40,16,25
F,40,17,14
F,40,18,15
F,40,19,7
F,40,20,5
F,40,21,3
F,40,22,2
F,41,0,263
F,41,1,193
F,41,2,161
F,41,3,154
F,41,4,143
F,41,5,137
F,41,6,123
F,41,7,120
F,41,8,106
F,41,9,112
F,41,10,107
F,41,11,89
F,41,12,105
F,41,13,96
F,41,14,93
F,41,15,57
F,41,16,38
F,41,17,28
F,41,18,12
F,41,19,21
F,41,20,7
F,41,21,7
F,41,22,5
F,41,23,1
F,42,0,210
