ORG,category,GRADE,SEX,Total Sum of Count
CEB,General Service,G3,M,1
CEB,General Service,G5,F,1
CEB,General Service,G6,F,3
CEB,General Service,G6,M,1
CEB,International Professionals,D-1,F,1
CEB,International Professionals,D-1,M,1
CEB,International Professionals,D-2,F,1
CEB,International Professionals,P-3,F,1
CEB,International Professionals,P-3,M,2
CEB,International Professionals,P-4,F,2
CEB,International Professionals,P-4,M,1
CEB,International Professionals,P-5,F,1
CEB,International Professionals,P-5,M,1
CTBTO,General Service,G4,F,15
CTBTO,General Service,G4,M,5
CTBTO,General Service,G5,F,30
CTBTO,General Service,G5,M,14
CTBTO,General Service,G6,F,9
CTBTO,General Service,G6,M,21
CTBTO,General Service,G7,F,1
CTBTO,International Professionals,ASG,M,1
CTBTO,International Professionals,D-1,F,3
CTBTO,International Professionals,D-1,M,3
CTBTO,International Professionals,P-2,F,18
CTBTO,International Professionals,P-2,M,16
CTBTO,International Professionals,P-3,F,18
CTBTO,International Professionals,P-3,M,44
CTBTO,International Professionals,P-4,F,19
CTBTO,International Professionals,P-4,M,41
CTBTO,International Professionals,P-5,F,12
CTBTO,International Professionals,P-5,M,20
FAO,General Service,G2,F,20
FAO,General Service,G2,M,95
FAO,General Service,G3,F,142
FAO,General Service,G3,M,116
FAO,General Service,G4,F,280
FAO,General Service,G4,M,89
FAO,General Service,G5,F,268
FAO,General Service,G5,M,65
FAO,General Service,G6,F,106
FAO,General Service,G6,M,39
FAO,General Service,G7,F,9
FAO,General Service,G7,M,3
FAO,International Professionals,ASG,F,1
FAO,International Professionals,ASG,M,9
FAO,International Professionals,D-1,F,27
FAO,International Professionals,D-1,M,66
FAO,International Professionals,D-2,F,6
FAO,International Professionals,D-2,M,28
FAO,International Professionals,DSG,M,1
FAO,International Professionals,P-1,F,31
FAO,International Professionals,P-1,M,16
FAO,International Professionals,P-2,F,116
FAO,International Professionals,P-2,M,63
FAO,International Professionals,P-3,F,224
FAO,International Professionals,P-3,M,186
FAO,International Professionals,P-4,F,237
FAO,International Professionals,P-4,M,366
FAO,International Professionals,P-5,F,111
FAO,International Professionals,P-5,M,248
FAO,International Professionals,USG,F,2
FAO,International Professionals,USG,M,1
FAO,National Professionals,NOA,F,43
FAO,National Professionals,NOA,M,40
FAO,National Professionals,NOB,F,42
FAO,National Professionals,NOB,M,66
FAO,National Professionals,NOC,F,15
FAO,National Professionals,NOC,M,36
FAO,National Professionals,NOD,F,1
FAO,National Professionals,NOD,M,10
IAEA,General Service,G1,F,3
IAEA,General Service,G1,M,2
IAEA,General Service,G2,F,10
IAEA,General Service,G2,M,30
IAEA,General Service,G3,F,21
IAEA,General Service,G3,M,27
IAEA,General Service,G4,F,192
IAEA,General Service,G4,M,72
IAEA,General Service,G5,F,258
IAEA,General Service,G5,M,117
IAEA,General Service,G6,F,147
IAEA,General Service,G6,M,132
IAEA,General Service,G7,F,8
IAEA,General Service,G7,M,10
IAEA,International Professionals,ASG,F,3
IAEA,International Professionals,ASG,M,3
IAEA,International Professionals,D-1,F,18
IAEA,International Professionals,D-1,M,27
IAEA,International Professionals,D-2,F,1
IAEA,International Professionals,D-2,M,5
IAEA,International Professionals,P-1,F,15
IAEA,International Professionals,P-1,M,6
IAEA,International Professionals,P-2,F,95
IAEA,International Professionals,P-2,M,82
IAEA,International Professionals,P-3,F,171
IAEA,International Professionals,P-3,M,294
IAEA,International Professionals,P-4,F,189
IAEA,International Professionals,P-4,M,337
IAEA,International Professionals,P-5,F,79
IAEA,International Professionals,P-5,M,232
IAEA,International Professionals,USG,M,1
ICAO,General Service,G1,M,1
ICAO,General Service,G2,M,5
ICAO,General Service,G3,F,3
ICAO,General Service,G3,M,8
ICAO,General Service,G4,F,51
ICAO,General Service,G4,M,9
ICAO,General Service,G5,F,70
ICAO,General Service,G5,M,21
ICAO,General Service,G6,F,74
ICAO,General Service,G6,M,25
