REGION,SUBREGION,COUNTRY,DS,ORGCD,Total Sum of Count
Africa,Northern Africa,Algeria,Algiers,FAO,4
Africa,Northern Africa,Algeria,Algiers,ILO,27
Africa,Northern Africa,Algeria,Algiers,IOM,10
Africa,Northern Africa,Algeria,Algiers,UN,14
Africa,Northern Africa,Algeria,Algiers,UNAIDS,3
Africa,Northern Africa,Algeria,Algiers,UNDP,32
Africa,Northern Africa,Algeria,Algiers,UNFPA,8
Africa,Northern Africa,Algeria,Algiers,UNHCR,22
Africa,Northern Africa,Algeria,Algiers,UNICEF,22
Africa,Northern Africa,Algeria,Algiers,UNIDO,4
Africa,Northern Africa,Algeria,Algiers,WFP,13
Africa,Northern Africa,Algeria,Algiers,WHO,14
Africa,Northern Africa,Algeria,Algiers,WIPO,1
Africa,Northern Africa,Algeria,Tindouf,UN,9
Africa,Northern Africa,Algeria,Tindouf,UNHCR,40
Africa,Northern Africa,Algeria,Tindouf,UNICEF,3
Africa,Northern Africa,Algeria,Tindouf,UNOPS,1
Africa,Northern Africa,Algeria,Tindouf,WFP,8
Africa,Northern Africa,Egypt,Alexandria,UNHCR,18
Africa,Northern Africa,Egypt,Cairo,FAO,69
Africa,Northern Africa,Egypt,Cairo,ICAO,22
Africa,Northern Africa,Egypt,Cairo,IFAD,19
Africa,Northern Africa,Egypt,Cairo,ILO,76
Africa,Northern Africa,Egypt,Cairo,IOM,128
Africa,Northern Africa,Egypt,Cairo,ITU,10
Africa,Northern Africa,Egypt,Cairo,UN,84
Africa,Northern Africa,Egypt,Cairo,UN WOMEN,36
Africa,Northern Africa,Egypt,Cairo,UNAIDS,11
Africa,Northern Africa,Egypt,Cairo,UNDP,55
Africa,Northern Africa,Egypt,Cairo,UNESCO,17
Africa,Northern Africa,Egypt,Cairo,UNFPA,64
Africa,Northern Africa,Egypt,Cairo,UNHCR,147
Africa,Northern Africa,Egypt,Cairo,UNICEF,75
Africa,Northern Africa,Egypt,Cairo,UNIDO,7
Africa,Northern Africa,Egypt,Cairo,UPU,1
Africa,Northern Africa,Egypt,Cairo,WFP,139
Africa,Northern Africa,Egypt,Cairo,WHO,451
Africa,Northern Africa,Libya,Benghazi,IOM,2
Africa,Northern Africa,Libya,Benghazi,UN,4
Africa,Northern Africa,Libya,Benghazi,UNHCR,6
Africa,Northern Africa,Libya,Benghazi,UNICEF,7
Africa,Northern Africa,Libya,Benghazi,WHO,2
Africa,Northern Africa,Libya,Misurata,UNHCR,1
Africa,Northern Africa,Libya,Sebha,UN,2
Africa,Northern Africa,Libya,Sebha,WHO,1
Africa,Northern Africa,Libya,Tripoli,IOM,29
Africa,Northern Africa,Libya,Tripoli,UN,221
Africa,Northern Africa,Libya,Tripoli,UNDP,28
Africa,Northern Africa,Libya,Tripoli,UNFPA,12
Africa,Northern Africa,Libya,Tripoli,UNHCR,112
Africa,Northern Africa,Libya,Tripoli,UNICEF,47
Africa,Northern Africa,Libya,Tripoli,UNOPS,1
Africa,Northern Africa,Libya,Tripoli,WFP,6
Africa,Northern Africa,Libya,Tripoli,WHO,26
Africa,Northern Africa,Morocco,Casablanca,UNOPS,1
Africa,Northern Africa,Morocco,Rabat,FAO,6
Africa,Northern Africa,Morocco,Rabat,IFAD,1
Africa,Northern Africa,Morocco,Rabat,ILO,12
Africa,Northern Africa,Morocco,Rabat,IOM,48
Africa,Northern Africa,Morocco,Rabat,UN,37
Africa,Northern Africa,Morocco,Rabat,UN WOMEN,11
Africa,Northern Africa,Morocco,Rabat,UNAIDS,4
Africa,Northern Africa,Morocco,Rabat,UNDP,28
Africa,Northern Africa,Morocco,Rabat,UNESCO,13
Africa,Northern Africa,Morocco,Rabat,UNFPA,13
Africa,Northern Africa,Morocco,Rabat,UNHCR,24
Africa,Northern Africa,Morocco,Rabat,UNICEF,39
Africa,Northern Africa,Morocco,Rabat,UNIDO,2
Africa,Northern Africa,Morocco,Rabat,WHO,12
Africa,Northern Africa,Morocco,Tangier,IOM,20
Africa,Northern Africa,Morocco,Tetouan,IOM,6
Africa,Northern Africa,Sudan,Abu Jubayhah,UNHCR,2
Africa,Northern Africa,Sudan,Abyei,IOM,4
Africa,Northern Africa,Sudan,Abyei,UN,199
Africa,Northern Africa,Sudan,Abyei,UNOPS,4
Africa,Northern Africa,Sudan,Ad Damazin,UN,4
Africa,Northern Africa,Sudan,Ad Damazin,WFP,7
Africa,Northern Africa,Sudan,Damazine,UN,2
Africa,Northern Africa,Sudan,Damazine,UNHCR,6
Africa,Northern Africa,Sudan,Damazine,UNICEF,15
Africa,Northern Africa,Sudan,Damazine,WHO,1
Africa,Northern Africa,Sudan,Doka,UNHCR,10
Africa,Northern Africa,Sudan,Ed Daein,ILO,1
Africa,Northern Africa,Sudan,Ed Daein,UNDP,1
Africa,Northern Africa,Sudan,Ed Daein,UNHCR,25
Africa,Northern Africa,Sudan,Ed Daein,UNICEF,6
Africa,Northern Africa,Sudan,Ed Daein,WFP,9
Africa,Northern Africa,Sudan,El Fasher,FAO,2
Africa,Northern Africa,Sudan,El Fasher,IOM,1
Africa,Northern Africa,Sudan,El Fasher,UN,214
Africa,Northern Africa,Sudan,El Fasher,UNDP,7
Africa,Northern Africa,Sudan,El Fasher,UNHCR,41
Africa,Northern Africa,Sudan,El Fasher,UNICEF,21
Africa,Northern Africa,Sudan,El Fasher,WFP,55
Africa,Northern Africa,Sudan,El Fasher,WHO,2
Africa,Northern Africa,Sudan,El Fula,ILO,1
Africa,Northern Africa,Sudan,El Fula,UNHCR,16
Africa,Northern Africa,Sudan,El Fula,UNICEF,3
Africa,Northern Africa,Sudan,El Fula,WFP,4
Africa,Northern Africa,Sudan,El Gedaref,IOM,2
Africa,Northern Africa,Sudan,El Gedaref,UNHCR,39
Africa,Northern Africa,Sudan,El Geneina,IOM,2
Africa,Northern Africa,Sudan,El Geneina,UN,7
Africa,Northern Africa,Sudan,El Geneina,UNDP,2
Africa,Northern Africa,Sudan,El Geneina,UNHCR,20
Africa,Northern Africa,Sudan,El Geneina,UNICEF,16
Africa,Northern Africa,Sudan,El Geneina,WFP,33
Africa,Northern Africa,Sudan,El Geneina,WHO,1
Africa,Northern Africa,Sudan,El-Obeid,ILO,2
Africa,Northern Africa,Sudan,El-Obeid,UNHCR,7
Africa,Northern Africa,Sudan,El-Obeid,WFP,37
Africa,Northern Africa,Sudan,Golo,UN,1
Africa,Northern Africa,Sudan,Kadugli,UN,56
Africa,Northern Africa,Sudan,Kadugli,UNDP,1
Africa,Northern Africa,Sudan,Kadugli,UNHCR,19
Africa,Northern Africa,Sudan,Kadugli,UNICEF,21
Africa,Northern Africa,Sudan,Kadugli,WFP,11
Africa,Northern Africa,Sudan,Kadugli,WHO,1
Africa,Northern Africa,Sudan,Kassala,IOM,1
Africa,Northern Africa,Sudan,Kassala,UN,10
Africa,Northern Africa,Sudan,Kassala,UNDP,1
Africa,Northern Africa,Sudan,Kassala,UNHCR,41
Africa,Northern Africa,Sudan,Kassala,UNICEF,17
Africa,Northern Africa,Sudan,Kassala,WFP,31
Africa,Northern Africa,Sudan,Kassala,WHO,1
Africa,Northern Africa,Sudan,Khartoum,FAO,14
Africa,Northern Africa,Sudan,Khartoum,IFAD,4
Africa,Northern Africa,Sudan,Khartoum,ILO,17
Africa,Northern Africa,Sudan,Khartoum,IOM,62
Africa,Northern Africa,Sudan,Khartoum,UN,231
Africa,Northern Africa,Sudan,Khartoum,UN WOMEN,6
Africa,Northern Africa,Sudan,Khartoum,UNAIDS,3
Africa,Northern Africa,Sudan,Khartoum,UNDP,91
Africa,Northern Africa,Sudan,Khartoum,UNESCO,7
Africa,Northern Africa,Sudan,Khartoum,UNFPA,28
Africa,Northern Africa,Sudan,Khartoum,UNHCR,101
Africa,Northern Africa,Sudan,Khartoum,UNICEF,102
Africa,Northern Africa,Sudan,Khartoum,UNIDO,3
Africa,Northern Africa,Sudan,Khartoum,WFP,215
Africa,Northern Africa,Sudan,Khartoum,WHO,54
Africa,Northern Africa,Sudan,Khashm El Girba,UNHCR,14
Africa,Northern Africa,Sudan,Kosti,ILO,2
Africa,Northern Africa,Sudan,Kosti,UNHCR,39
Africa,Northern Africa,Sudan,Kosti,UNICEF,3
Africa,Northern Africa,Sudan,Kosti,WFP,8
Africa,Northern Africa,Sudan,Nyala,UN,13
Africa,Northern Africa,Sudan,Nyala,UNDP,3
Africa,Northern Africa,Sudan,Nyala,UNHCR,25
Africa,Northern Africa,Sudan,Nyala,UNICEF,15
Africa,Northern Africa,Sudan,Nyala,WFP,50
Africa,Northern Africa,Sudan,Nyala,WHO,2
Africa,Northern Africa,Sudan,Other,WFP,1
Africa,Northern Africa,Sudan,Port Sudan,UNICEF,3
Africa,Northern Africa,Sudan,Port Sudan,WFP,28
Africa,Northern Africa,Sudan,Zalingei,UN,5
Africa,Northern Africa,Sudan,Zalingei,UNHCR,14
Africa,Northern Africa,Sudan,Zalingei,UNICEF,9
Africa,Northern Africa,Sudan,Zalingei,WFP,4
Africa,Northern Africa,Tunisia,Gabes,ILO,1
Africa,Northern Africa,Tunisia,Gafsa,ILO,1
Africa,Northern Africa,Tunisia,Jendouba,ILO,3
Africa,Northern Africa,Tunisia,Kairouan,ILO,2
Africa,Northern Africa,Tunisia,Kasserine,ILO,1
Africa,Northern Africa,Tunisia,Sfax,IOM,1
Africa,Northern Africa,Tunisia,Tataouine,ILO,2
Africa,Northern Africa,Tunisia,Tunis,FAO,21
Africa,Northern Africa,Tunisia,Tunis,ILO,46
Africa,Northern Africa,Tunisia,Tunis,IOM,71
Africa,Northern Africa,Tunisia,Tunis,UN,60
Africa,Northern Africa,Tunisia,Tunis,UN WOMEN,5
Africa,Northern Africa,Tunisia,Tunis,UNAIDS,1
Africa,Northern Africa,Tunisia,Tunis,UNDP,39
Africa,Northern Africa,Tunisia,Tunis,UNESCO,1
Africa,Northern Africa,Tunisia,Tunis,UNFPA,15
Africa,Northern Africa,Tunisia,Tunis,UNHCR,39
Africa,Northern Africa,Tunisia,Tunis,UNICEF,33
Africa,Northern Africa,Tunisia,Tunis,UNIDO,1
Africa,Northern Africa,Tunisia,Tunis,UNOPS,6
Africa,Northern Africa,Tunisia,Tunis,WFP,12
Africa,Northern Africa,Tunisia,Tunis,WHO,50
Africa,Northern Africa,Tunisia,Zarzis,IOM,2
Africa,Northern Africa,Tunisia,Zarzis,UNDP,1
Africa,Northern Africa,Tunisia,Zarzis,UNHCR,6
Africa,Northern Africa,Western Sahara,Laayoune,UN,205
