REGION,SUBREGION,COUNTRY,ORGCD,NATIO_ISO,YEAR,Total Sum of Count
Africa,Northern Africa,Algeria,CTBTO,DZA,2021,2
Africa,Northern Africa,Algeria,FAO,DZA,2021,10
Africa,Northern Africa,Algeria,IAEA,DZA,2021,6
Africa,Northern Africa,Algeria,ICAO,DZA,2021,1
Africa,Northern Africa,Algeria,ICJ,DZA,2021,1
Africa,Northern Africa,Algeria,ICSC,DZA,2021,1
Africa,Northern Africa,Algeria,IFAD,DZA,2021,3
Africa,Northern Africa,Algeria,ILO,DZA,2021,28
Africa,Northern Africa,Algeria,IMO,DZA,2021,1
Africa,Northern Africa,Algeria,IOM,DZA,2021,4
Africa,Northern Africa,Algeria,ITC,DZA,2021,1
Africa,Northern Africa,Algeria,ITCILO,DZA,2021,1
Africa,Northern Africa,Algeria,ITU,DZA,2021,7
Africa,Northern Africa,Algeria,UN,DZA,2021,69
Africa,Northern Africa,Algeria,UN WOMEN,DZA,2021,1
Africa,Northern Africa,Algeria,UNAIDS,DZA,2021,4
Africa,Northern Africa,Algeria,UNDP,DZA,2021,32
Africa,Northern Africa,Algeria,UNESCO,DZA,2021,22
Africa,Northern Africa,Algeria,UNFPA,DZA,2021,8
Africa,Northern Africa,Algeria,UNHCR,DZA,2021,64
Africa,Northern Africa,Algeria,UNICEF,DZA,2021,31
Africa,Northern Africa,Algeria,UNIDO,DZA,2021,6
Africa,Northern Africa,Algeria,UNITAR,DZA,2021,1
Africa,Northern Africa,Algeria,UNOPS,DZA,2021,3
Africa,Northern Africa,Algeria,UNWTO,DZA,2021,2
Africa,Northern Africa,Algeria,UPU,DZA,2021,2
Africa,Northern Africa,Algeria,WFP,DZA,2021,23
Africa,Northern Africa,Algeria,WHO,DZA,2021,28
Africa,Northern Africa,Algeria,WIPO,DZA,2021,8
Africa,Northern Africa,Egypt,CTBTO,EGY,2021,2
Africa,Northern Africa,Egypt,FAO,EGY,2021,49
Africa,Northern Africa,Egypt,IAEA,EGY,2021,16
Africa,Northern Africa,Egypt,ICAO,EGY,2021,19
Africa,Northern Africa,Egypt,IFAD,EGY,2021,11
Africa,Northern Africa,Egypt,ILO,EGY,2021,69
Africa,Northern Africa,Egypt,IMO,EGY,2021,3
Africa,Northern Africa,Egypt,IOM,EGY,2021,124
Africa,Northern Africa,Egypt,ITC,EGY,2021,1
Africa,Northern Africa,Egypt,ITCILO,EGY,2021,2
Africa,Northern Africa,Egypt,ITU,EGY,2021,13
Africa,Northern Africa,Egypt,UN,EGY,2021,286
Africa,Northern Africa,Egypt,UN WOMEN,EGY,2021,29
Africa,Northern Africa,Egypt,UNAIDS,EGY,2021,11
