ORG,ENTITY,YEAR,Total Sum of STAFF
CEB,CEB,2017,17
CEB,CEB,2018,15
CEB,CEB,2019,15
CEB,CEB,2020,14
CEB,CEB,2021,17
CTBTO,NA,2016,276
CTBTO,NA,2017,310
CTBTO,NA,2018,277
CTBTO,NA,2019,280
CTBTO,NA,2020,283
CTBTO,NA,2021,290
FAO,NA,2015,3 250
FAO,NA,2016,3 162
FAO,NA,2017,3 134
FAO,NA,2018,3 108
FAO,NA,2019,3 119
FAO,NA,2020,3 171
FAO,NA,2021,3 224
IAEA,NA,2015,2 407
IAEA,NA,2016,2 569
IAEA,NA,2017,2 394
IAEA,NA,2018,2 547
IAEA,NA,2019,2 781
IAEA,NA,2020,2 544
IAEA,NA,2021,2 587
ICAO,NA,2015,764
ICAO,NA,2016,780
ICAO,NA,2017,795
ICAO,NA,2018,797
ICAO,NA,2019,771
ICAO,NA,2020,741
ICAO,NA,2021,736
ICJ,NA,2015,109
ICJ,NA,2016,104
ICJ,NA,2017,109
ICJ,NA,2019,115
ICJ,NA,2020,114
ICJ,NA,2021,115
ICSC,ICSC,2017,45
ICSC,ICSC,2018,42
ICSC,ICSC,2019,43
ICSC,ICSC,2020,46
ICSC,ICSC,2021,45
ICSC,NA,2015,40
ICSC,NA,2016,41
IFAD,NA,2015,601
IFAD,NA,2016,621
IFAD,NA,2017,627
IFAD,NA,2018,619
IFAD,NA,2019,674
IFAD,NA,2020,723
IFAD,NA,2021,746
ILO,NA,2015,2 796
ILO,NA,2016,2 739
ILO,NA,2017,3 008
ILO,NA,2018,3 171
ILO,NA,2019,3 302
ILO,NA,2020,3 447
ILO,NA,2021,3 606
IMO,NA,2015,263
IMO,NA,2016,273
IMO,NA,2017,270
IMO,NA,2018,264
IMO,NA,2019,271
IMO,NA,2020,273
IMO,NA,2021,255
IOM,NA,2016,4 104
IOM,NA,2017,4 450
IOM,NA,2018,4 888
IOM,NA,2019,5 564
IOM,NA,2020,6 110
IOM,NA,2021,6 589
ISA,NA,2016,29
ISA,NA,2017,35
ISA,NA,2018,40
ISA,NA,2019,47
ISA,NA,2020,41
ISA,NA,2021,43
ITC,NA,2015,262
ITC,NA,2016,275
ITC,NA,2017,287
ITC,NA,2018,287
ITC,NA,2019,315
ITC,NA,2020,355
ITC,NA,2021,359
ITCILO,NA,2015,169
ITCILO,NA,2016,172
ITCILO,NA,2017,164
ITCILO,NA,2018,176
ITCILO,NA,2019,178
ITCILO,NA,2020,171
ITCILO,NA,2021,172
ITLOS,NA,2016,33
ITLOS,NA,2017,35
ITLOS,NA,2018,34
ITU,NA,2015,744
ITU,NA,2016,744
ITU,NA,2017,680
ITU,NA,2018,727
ITU,NA,2019,749
ITU,NA,2020,758
ITU,NA,2021,782
JIU,JIU,2018,31
JIU,JIU,2019,30
JIU,JIU,2020,30
JIU,JIU,2021,30
PAHO,NA,2015,822
PAHO,NA,2016,823
PAHO,NA,2017,802
PAHO,NA,2018,881
PAHO,NA,2019,870
PAHO,NA,2020,789
PAHO,NA,2021,786
UN,ACABQ-SEC,2019,10
UN,ACABQ-SEC,2020,10
UN,ACABQ-SEC,2021,12
UN,ATSMT,2017,15
UN,ATSMT,2018,16
UN,ATSMT,2019,12
UN,ATSMT,2020,16
