org,category,grade,sex,year,total_sum_count
CEB,General Service,G5,F,2022,1
CEB,General Service,G6,F,2022,3
CEB,General Service,G6,M,2022,1
CEB,International Professionals,D-1,F,2022,1
CEB,International Professionals,D-1,M,2022,1
CEB,International Professionals,P-2,M,2022,1
CEB,International Professionals,P-3,M,2022,2
CEB,International Professionals,P-4,F,2022,3
CEB,International Professionals,P-4,M,2022,1
CEB,International Professionals,P-5,F,2022,1
CEB,International Professionals,P-5,M,2022,1
CTBTO,General Service,G4,F,2022,16
CTBTO,General Service,G4,M,2022,5
CTBTO,General Service,G5,F,2022,30
CTBTO,General Service,G5,M,2022,14
CTBTO,General Service,G6,F,2022,10
CTBTO,General Service,G6,M,2022,24
CTBTO,General Service,G7,F,2022,1
CTBTO,International Professionals,D-1,F,2022,2
CTBTO,International Professionals,D-1,M,2022,3
CTBTO,International Professionals,P-2,F,2022,18
CTBTO,International Professionals,P-2,M,2022,14
CTBTO,International Professionals,P-3,F,2022,22
CTBTO,International Professionals,P-3,M,2022,49
CTBTO,International Professionals,P-4,F,2022,21
CTBTO,International Professionals,P-4,M,2022,37
CTBTO,International Professionals,P-5,F,2022,15
CTBTO,International Professionals,P-5,M,2022,18
CTBTO,International Professionals,UG,M,2022,1
FAO,General Service,G2,F,2022,16
FAO,General Service,G2,M,2022,95
FAO,General Service,G3,F,2022,131
FAO,General Service,G3,M,2022,114
FAO,General Service,G4,F,2022,258
FAO,General Service,G4,M,2022,90
FAO,General Service,G5,F,2022,284
FAO,General Service,G5,M,2022,62
FAO,General Service,G6,F,2022,98
FAO,General Service,G6,M,2022,38
FAO,General Service,G7,F,2022,7
FAO,General Service,G7,M,2022,3
FAO,International Professionals,D-1,F,2022,24
FAO,International Professionals,D-1,M,2022,61
FAO,International Professionals,D-2,F,2022,9
FAO,International Professionals,D-2,M,2022,23
FAO,International Professionals,P-1,F,2022,37
FAO,International Professionals,P-1,M,2022,14
FAO,International Professionals,P-2,F,2022,121
FAO,International Professionals,P-2,M,2022,70
FAO,International Professionals,P-3,F,2022,235
FAO,International Professionals,P-3,M,2022,179
FAO,International Professionals,P-4,F,2022,239
FAO,International Professionals,P-4,M,2022,369
FAO,International Professionals,P-5,F,2022,113
FAO,International Professionals,P-5,M,2022,237
FAO,International Professionals,UG,F,2022,3
FAO,International Professionals,UG,M,2022,10
