region,subregion,iso3,country,city,org,year,total_sum_count
Africa,Northern Africa,DZA,Algeria,Algiers,FAO,2022,3
Africa,Northern Africa,DZA,Algeria,Algiers,ILO,2022,29
Africa,Northern Africa,DZA,Algeria,Algiers,IOM,2022,9
Africa,Northern Africa,DZA,Algeria,Algiers,UN,2022,15
Africa,Northern Africa,DZA,Algeria,Algiers,UNAIDS,2022,2
Africa,Northern Africa,DZA,Algeria,Algiers,UNDP,2022,30
Africa,Northern Africa,DZA,Algeria,Algiers,UNFPA,2022,8
Africa,Northern Africa,DZA,Algeria,Algiers,UNHCR,2022,21
Africa,Northern Africa,DZA,Algeria,Algiers,UNICEF,2022,24
Africa,Northern Africa,DZA,Algeria,Algiers,UNIDO,2022,4
Africa,Northern Africa,DZA,Algeria,Algiers,WFP,2022,15
Africa,Northern Africa,DZA,Algeria,Algiers,WHO,2022,13
Africa,Northern Africa,DZA,Algeria,Algiers,WIPO,2022,1
Africa,Northern Africa,DZA,Algeria,Tindouf,UN,2022,9
Africa,Northern Africa,DZA,Algeria,Tindouf,UNHCR,2022,41
Africa,Northern Africa,DZA,Algeria,Tindouf,UNICEF,2022,3
Africa,Northern Africa,DZA,Algeria,Tindouf,UNOPS,2022,1
Africa,Northern Africa,DZA,Algeria,Tindouf,WFP,2022,10
Africa,Northern Africa,EGY,Egypt,Alexandria,UNHCR,2022,14
Africa,Northern Africa,EGY,Egypt,Cairo,FAO,2022,66
Africa,Northern Africa,EGY,Egypt,Cairo,ICAO,2022,23
Africa,Northern Africa,EGY,Egypt,Cairo,IFAD,2022,20
Africa,Northern Africa,EGY,Egypt,Cairo,ILO,2022,76
Africa,Northern Africa,EGY,Egypt,Cairo,IOM,2022,132
Africa,Northern Africa,EGY,Egypt,Cairo,ITU,2022,8
Africa,Northern Africa,EGY,Egypt,Cairo,UN,2022,47
Africa,Northern Africa,EGY,Egypt,Cairo,UN WOMEN,2022,35
Africa,Northern Africa,EGY,Egypt,Cairo,UNAIDS,2022,8
Africa,Northern Africa,EGY,Egypt,Cairo,UNDP,2022,57
Africa,Northern Africa,EGY,Egypt,Cairo,UNESCO,2022,19
Africa,Northern Africa,EGY,Egypt,Cairo,UNFPA,2022,64
Africa,Northern Africa,EGY,Egypt,Cairo,UNHCR,2022,151
Africa,Northern Africa,EGY,Egypt,Cairo,UNICEF,2022,78
Africa,Northern Africa,EGY,Egypt,Cairo,UNIDO,2022,7
Africa,Northern Africa,EGY,Egypt,Cairo,WFP,2022,161
Africa,Northern Africa,EGY,Egypt,Cairo,WHO,2022,488
Africa,Northern Africa,ESH,Western Sahara,Laayoune,UN,2022,215
Africa,Northern Africa,ESH,Western Sahara,Laayoune,UNHCR,2022,13
Africa,Northern Africa,ESH,Western Sahara,Laayoune,UNOPS,2022,2
Africa,Northern Africa,LBY,Libya,Benghazi,IOM,2022,1
Africa,Northern Africa,LBY,Libya,Benghazi,UN,2022,3
Africa,Northern Africa,LBY,Libya,Benghazi,UNHCR,2022,9
Africa,Northern Africa,LBY,Libya,Benghazi,UNICEF,2022,7
Africa,Northern Africa,LBY,Libya,Benghazi,WFP,2022,1
Africa,Northern Africa,LBY,Libya,Benghazi,WHO,2022,1
Africa,Northern Africa,LBY,Libya,Misurata,UNHCR,2022,1
Africa,Northern Africa,LBY,Libya,Sebha,UN,2022,1
Africa,Northern Africa,LBY,Libya,Sebha,WHO,2022,1
Africa,Northern Africa,LBY,Libya,Tripoli,IOM,2022,35
Africa,Northern Africa,LBY,Libya,Tripoli,UN,2022,261
Africa,Northern Africa,LBY,Libya,Tripoli,UNDP,2022,41
Africa,Northern Africa,LBY,Libya,Tripoli,UNFPA,2022,12
Africa,Northern Africa,LBY,Libya,Tripoli,UNHCR,2022,107
Africa,Northern Africa,LBY,Libya,Tripoli,UNICEF,2022,47
Africa,Northern Africa,LBY,Libya,Tripoli,UNOPS,2022,2
Africa,Northern Africa,LBY,Libya,Tripoli,WFP,2022,3
Africa,Northern Africa,LBY,Libya,Tripoli,WHO,2022,26
Africa,Northern Africa,MAR,Morocco,Rabat,FAO,2022,7
