region,subregion,country,org,iso3,year,total_sum_count
Africa,Northern Africa,Algeria,CTBTO,DZA,2022,2
Africa,Northern Africa,Algeria,FAO,DZA,2022,9
Africa,Northern Africa,Algeria,IAEA,DZA,2022,5
Africa,Northern Africa,Algeria,ICAO,DZA,2022,1
Africa,Northern Africa,Algeria,ICJ,DZA,2022,1
Africa,Northern Africa,Algeria,ICSC,DZA,2022,1
Africa,Northern Africa,Algeria,IFAD,DZA,2022,2
Africa,Northern Africa,Algeria,ILO,DZA,2022,29
Africa,Northern Africa,Algeria,IMO,DZA,2022,1
Africa,Northern Africa,Algeria,IOM,DZA,2022,7
Africa,Northern Africa,Algeria,ITC,DZA,2022,1
Africa,Northern Africa,Algeria,ITCILO,DZA,2022,1
Africa,Northern Africa,Algeria,ITU,DZA,2022,7
Africa,Northern Africa,Algeria,UN,DZA,2022,70
Africa,Northern Africa,Algeria,UN WOMEN,DZA,2022,1
Africa,Northern Africa,Algeria,UNAIDS,DZA,2022,3
Africa,Northern Africa,Algeria,UNDP,DZA,2022,30
Africa,Northern Africa,Algeria,UNESCO,DZA,2022,24
Africa,Northern Africa,Algeria,UNFPA,DZA,2022,8
Africa,Northern Africa,Algeria,UNHCR,DZA,2022,62
Africa,Northern Africa,Algeria,UNICEF,DZA,2022,34
Africa,Northern Africa,Algeria,UNIDO,DZA,2022,6
Africa,Northern Africa,Algeria,UNITAR,DZA,2022,1
Africa,Northern Africa,Algeria,UNOPS,DZA,2022,3
Africa,Northern Africa,Algeria,UNWTO,DZA,2022,2
Africa,Northern Africa,Algeria,UPU,DZA,2022,2
Africa,Northern Africa,Algeria,WFP,DZA,2022,29
Africa,Northern Africa,Algeria,WHO,DZA,2022,29
Africa,Northern Africa,Algeria,WIPO,DZA,2022,9
Africa,Northern Africa,Egypt,CTBTO,EGY,2022,2
Africa,Northern Africa,Egypt,FAO,EGY,2022,49
Africa,Northern Africa,Egypt,IAEA,EGY,2022,18
Africa,Northern Africa,Egypt,ICAO,EGY,2022,20
Africa,Northern Africa,Egypt,IFAD,EGY,2022,13
Africa,Northern Africa,Egypt,ILO,EGY,2022,70
Africa,Northern Africa,Egypt,IMO,EGY,2022,4
Africa,Northern Africa,Egypt,IOM,EGY,2022,141
Africa,Northern Africa,Egypt,ITC,EGY,2022,1
Africa,Northern Africa,Egypt,ITCILO,EGY,2022,3
Africa,Northern Africa,Egypt,ITU,EGY,2022,11
Africa,Northern Africa,Egypt,UN,EGY,2022,276
Africa,Northern Africa,Egypt,UN WOMEN,EGY,2022,30
Africa,Northern Africa,Egypt,UNAIDS,EGY,2022,9
Africa,Northern Africa,Egypt,UNDP,EGY,2022,70
Africa,Northern Africa,Egypt,UNESCO,EGY,2022,16
Africa,Northern Africa,Egypt,UNFCCC,EGY,2022,1
Africa,Northern Africa,Egypt,UNFPA,EGY,2022,49
Africa,Northern Africa,Egypt,UNHCR,EGY,2022,191
Africa,Northern Africa,Egypt,UNICEF,EGY,2022,87
Africa,Northern Africa,Egypt,UNIDO,EGY,2022,8
Africa,Northern Africa,Egypt,UNJSPF,EGY,2022,1
Africa,Northern Africa,Egypt,UNOPS,EGY,2022,3
Africa,Northern Africa,Egypt,UNRWA,EGY,2022,2
Africa,Northern Africa,Egypt,UPU,EGY,2022,2
Africa,Northern Africa,Egypt,WFP,EGY,2022,139
Africa,Northern Africa,Egypt,WHO,EGY,2022,403
Africa,Northern Africa,Egypt,WIPO,EGY,2022,8
Africa,Northern Africa,Egypt,WMO,EGY,2022,1
Africa,Northern Africa,Libyan Arab Jamahiriya,FAO,LBY,2022,3
Africa,Northern Africa,Libyan Arab Jamahiriya,IAEA,LBY,2022,1
Africa,Northern Africa,Libyan Arab Jamahiriya,IOM,LBY,2022,20
Africa,Northern Africa,Libyan Arab Jamahiriya,UN,LBY,2022,83
Africa,Northern Africa,Libyan Arab Jamahiriya,UNDP,LBY,2022,22
Africa,Northern Africa,Libyan Arab Jamahiriya,UNESCO,LBY,2022,3
Africa,Northern Africa,Libyan Arab Jamahiriya,UNFCCC,LBY,2022,1
Africa,Northern Africa,Libyan Arab Jamahiriya,UNFPA,LBY,2022,10
Africa,Northern Africa,Libyan Arab Jamahiriya,UNHCR,LBY,2022,96
Africa,Northern Africa,Libyan Arab Jamahiriya,UNICEF,LBY,2022,41
Africa,Northern Africa,Libyan Arab Jamahiriya,WFP,LBY,2022,1
Africa,Northern Africa,Libyan Arab Jamahiriya,WHO,LBY,2022,18
Africa,Northern Africa,Libyan Arab Jamahiriya,WIPO,LBY,2022,2
Africa,Northern Africa,Morocco,CTBTO,MAR,2022,1
Africa,Northern Africa,Morocco,FAO,MAR,2022,14
Africa,Northern Africa,Morocco,IAEA,MAR,2022,8
Africa,Northern Africa,Morocco,ICAO,MAR,2022,2
Africa,Northern Africa,Morocco,IFAD,MAR,2022,3
Africa,Northern Africa,Morocco,ILO,MAR,2022,16
Africa,Northern Africa,Morocco,IMO,MAR,2022,1
Africa,Northern Africa,Morocco,IOM,MAR,2022,77
Africa,Northern Africa,Morocco,ITC,MAR,2022,2
Africa,Northern Africa,Morocco,ITCILO,MAR,2022,1
Africa,Northern Africa,Morocco,ITU,MAR,2022,8
Africa,Northern Africa,Morocco,UN,MAR,2022,343
Africa,Northern Africa,Morocco,UN WOMEN,MAR,2022,13
Africa,Northern Africa,Morocco,UNAIDS,MAR,2022,4
Africa,Northern Africa,Morocco,UNDP,MAR,2022,28
Africa,Northern Africa,Morocco,UNESCO,MAR,2022,27
Africa,Northern Africa,Morocco,UNFPA,MAR,2022,15
Africa,Northern Africa,Morocco,UNHCR,MAR,2022,39
Africa,Northern Africa,Morocco,UNICC,MAR,2022,1
Africa,Northern Africa,Morocco,UNICEF,MAR,2022,42
Africa,Northern Africa,Morocco,UNIDO,MAR,2022,6
Africa,Northern Africa,Morocco,UNJSPF,MAR,2022,1
Africa,Northern Africa,Morocco,UNOPS,MAR,2022,1
Africa,Northern Africa,Morocco,UNWTO,MAR,2022,2
Africa,Northern Africa,Morocco,UPU,MAR,2022,4
Africa,Northern Africa,Morocco,WFP,MAR,2022,3
Africa,Northern Africa,Morocco,WHO,MAR,2022,28
Africa,Northern Africa,Morocco,WIPO,MAR,2022,13
Africa,Northern Africa,Morocco,WMO,MAR,2022,5
Africa,Northern Africa,Sudan,FAO,SDN,2022,18
Africa,Northern Africa,Sudan,IAEA,SDN,2022,4
Africa,Northern Africa,Sudan,ICAO,SDN,2022,3
Africa,Northern Africa,Sudan,IFAD,SDN,2022,4
Africa,Northern Africa,Sudan,ILO,SDN,2022,19
Africa,Northern Africa,Sudan,IOM,SDN,2022,65
Africa,Northern Africa,Sudan,ISA,SDN,2022,1
Africa,Northern Africa,Sudan,ITU,SDN,2022,1
Africa,Northern Africa,Sudan,UN,SDN,2022,311
Africa,Northern Africa,Sudan,UN WOMEN,SDN,2022,7
Africa,Northern Africa,Sudan,UNAIDS,SDN,2022,5
Africa,Northern Africa,Sudan,UNDP,SDN,2022,106
Africa,Northern Africa,Sudan,UNESCO,SDN,2022,8
Africa,Northern Africa,Sudan,UNFCCC,SDN,2022,1
Africa,Northern Africa,Sudan,UNFPA,SDN,2022,23
Africa,Northern Africa,Sudan,UNHCR,SDN,2022,406
Africa,Northern Africa,Sudan,UNICEF,SDN,2022,272
Africa,Northern Africa,Sudan,UNIDO,SDN,2022,5
Africa,Northern Africa,Sudan,UPU,SDN,2022,3
Africa,Northern Africa,Sudan,WFP,SDN,2022,901
Africa,Northern Africa,Sudan,WHO,SDN,2022,89
Africa,Northern Africa,Sudan,WMO,SDN,2022,2
Africa,Northern Africa,Tunisia,CTBTO,TUN,2022,4
Africa,Northern Africa,Tunisia,FAO,TUN,2022,25
Africa,Northern Africa,Tunisia,IAEA,TUN,2022,9
Africa,Northern Africa,Tunisia,ICAO,TUN,2022,10
Africa,Northern Africa,Tunisia,ICJ,TUN,2022,1
Africa,Northern Africa,Tunisia,IFAD,TUN,2022,7
Africa,Northern Africa,Tunisia,ILO,TUN,2022,62
Africa,Northern Africa,Tunisia,IMO,TUN,2022,3
Africa,Northern Africa,Tunisia,IOM,TUN,2022,55
Africa,Northern Africa,Tunisia,ITC,TUN,2022,5
Africa,Northern Africa,Tunisia,ITCILO,TUN,2022,2
Africa,Northern Africa,Tunisia,ITU,TUN,2022,11
Africa,Northern Africa,Tunisia,UN,TUN,2022,123
Africa,Northern Africa,Tunisia,UN WOMEN,TUN,2022,2
Africa,Northern Africa,Tunisia,UNAIDS,TUN,2022,2
Africa,Northern Africa,Tunisia,UNDP,TUN,2022,36
Africa,Northern Africa,Tunisia,UNESCO,TUN,2022,18
Africa,Northern Africa,Tunisia,UNFPA,TUN,2022,13
Africa,Northern Africa,Tunisia,UNHCR,TUN,2022,39
Africa,Northern Africa,Tunisia,UNICEF,TUN,2022,48
Africa,Northern Africa,Tunisia,UNIDO,TUN,2022,4
Africa,Northern Africa,Tunisia,UNJSPF,TUN,2022,2
Africa,Northern Africa,Tunisia,UNOPS,TUN,2022,5
Africa,Northern Africa,Tunisia,UNRWA,TUN,2022,1
Africa,Northern Africa,Tunisia,UPU,TUN,2022,2
Africa,Northern Africa,Tunisia,WFP,TUN,2022,16
Africa,Northern Africa,Tunisia,WHO,TUN,2022,64
Africa,Northern Africa,Tunisia,WIPO,TUN,2022,7
Africa,Northern Africa,Tunisia,WMO,TUN,2022,1
Africa,Sub-Saharan Africa,Angola,FAO,AGO,2022,10
Africa,Sub-Saharan Africa,Angola,ICAO,AGO,2022,1
Africa,Sub-Saharan Africa,Angola,IFAD,AGO,2022,3
Africa,Sub-Saharan Africa,Angola,ILO,AGO,2022,3
Africa,Sub-Saharan Africa,Angola,IOM,AGO,2022,2
Africa,Sub-Saharan Africa,Angola,UN,AGO,2022,19
Africa,Sub-Saharan Africa,Angola,UNAIDS,AGO,2022,2
Africa,Sub-Saharan Africa,Angola,UNDP,AGO,2022,17
Africa,Sub-Saharan Africa,Angola,UNESCO,AGO,2022,1
Africa,Sub-Saharan Africa,Angola,UNFPA,AGO,2022,8
Africa,Sub-Saharan Africa,Angola,UNHCR,AGO,2022,21
Africa,Sub-Saharan Africa,Angola,UNICEF,AGO,2022,31
Africa,Sub-Saharan Africa,Angola,WFP,AGO,2022,5
Africa,Sub-Saharan Africa,Angola,WHO,AGO,2022,36
Africa,Sub-Saharan Africa,Benin,CTBTO,BEN,2022,1
Africa,Sub-Saharan Africa,Benin,FAO,BEN,2022,14
